,Bachelor_s,total_popu,Per_capita,Median_num,Median_val,All_famili,Unemployme,vegetation,Median_fam,impervious,Bachelor_p
1199,0,2528,15145,3.7,449600,596,7,1.09090909,38333,82.62987,0
1200,16.9,4367,99927,3.7,651900,935,7.9,1.93534483,127330,80.258621,0.3869934
1201,13.5,1561,67377,4.2,473700,265,0,0,68661,96.275081,0.8648302
1202,0,3944,75032,3.7,707100,712,0,1.73972603,227143,83.073059,0
1203,39.9,3139,29474,3.8,674000,710,9.8,1.47747748,60968,85.144144,1.271105
1204,45.4,4629,38549,3.9,645500,809,15.2,0.09583333,53804,90.445833,0.9807734
1205,56.8,2244,48483,3.9,879900,410,16.5,0.43697479,52222,80.268908,2.531194
1206,41.1,5723,64118,4.1,852500,1228,4.8,0.35144928,123295,84.902174,0.7181548
1207,45.5,1660,35548,5.7,687000,434,11.5,0,69444,88.870748,2.740964
1208,50.8,2909,75071,4.8,1000000,647,0,0.06547619,140987,85.244048,1.746305
1209,0,0,69530,0,0,0,0,18.98545102,0,18.954413,0
1210,23.9,3980,37273,4.3,904500,902,35.1,0,105230,87.301075,0.6005025
1211,13.6,5148,62971,4,758200,1148,6.1,7.05090909,147083,77.061818,0.2641803
1212,72.7,3167,48475,3.8,955600,708,13,0.10552764,118854,84.376884,2.295548
1213,10.8,2574,25238,3.9,567100,614,0,5.76404494,87466,77.044944,0.4195804
1214,14,3060,104334,3.8,671300,655,11.9,1.64423077,91750,84.990385,0.4575163
1215,3,896,34086,4.9,0,225,0,5.13990826,61458,60.754587,0.3348214
1216,51.9,5638,59435,3.9,1000000,1304,16.2,0.68269231,192292,83.461538,0.9205392
1217,53.9,4946,41667,4.2,874000,1170,4.1,0.05882353,131987,87.037433,1.08977
1218,16.2,1682,26999,5,601500,457,2.8,1.60215054,94300,75.462366,0.9631391
1219,70,4620,53013,4.2,877400,1149,0,0.67094017,87955,88.559829,1.515152
1220,43.9,3967,34810,4.5,860000,1028,6.3,2.61304348,105608,85.821739,1.10663
1221,33.5,4103,0,5.1,717000,958,0,0.22270742,67470,90.834061,0.8164757
1222,24.7,2064,26253,4.9,604600,629,0,0.83783784,67986,80.772973,1.196705
1223,0,0,0,0,0,0,0,26.06651376,0,26.972477,0
1224,13.6,3521,20561,4.1,449300,844,15.4,0.375,49670,86.448864,0.3862539
1225,16.1,3398,21623,4,413900,884,13.2,0.16666667,46736,88.625,0.4738081
1226,19.5,2376,18348,4.9,496700,583,17.8,0,88698,87.236686,0.8207071
1227,5.8,3124,21248,4.2,391100,770,9.7,1.10526316,45868,81.187135,0.1856594
1228,5.7,3395,23164,3.3,394600,786,11.4,0.40689655,60893,84.482759,0.167894
1229,16.7,1630,21667,4,382200,330,6.3,0.23076923,58232,86.269231,1.02454
1230,3.9,3504,17866,3.9,425700,763,14.4,0.76646707,34303,88.754491,0.1113014
1231,2.2,6587,19633,4,391900,1665,5,0.25663717,34955,86.769912,0.03339912
1232,15.3,3365,22074,4,500300,847,11.4,0.98630137,62027,84.388128,0.4546805
1233,30.5,4499,21289,3.5,631400,1177,2.8,0.54330709,73527,67.688976,0.6779284
1234,32.8,1021,39569,4.9,875000,273,14.5,3.50672646,76250,65.829596,3.212537
1235,42.1,5510,34932,3.8,423300,1423,22.8,1.22839506,76593,84.380658,0.7640653
1236,29,3031,19720,3.2,458000,769,12.4,7.76116071,71048,72.962054,0.9567799
